text,occurrence_count
fake credentials,1686.0
solar irrigation pumps,732.0
coach coach,599.0
eight boreholes,512.0
previous year,350.0
sanction sanitation defaulters,344.0
half-time interviews,324.0
frontline technical staff,303.0
typhoid surge,271.0
explosive cases,246.0
anti-apartheid documentary,219.0
new relationship show,211.0
epic intercontinental journey,196.0
devout hands,157.0
number one artiste,150.0
deadly clashes,139.0
seven convictions,130.0
global mail deliveries,129.0
top flight,128.0
lands minister,127.0
new gospel show,127.0
table tennis,124.0
agro-processing,122.0
local medicine,118.0
public service charges,116.0
new subscribers,114.0
one study,113.0
three sureties,111.0
defending champions,110.0
bottom corner,106.0
community assurance patrols,105.0
morning man,104.0
one user,101.0
international football,100.0
a-thon,93.0
air travel,92.0
review period,91.0
upcoming season,91.0
life imprisonment,91.0
cement prices,90.0
weak candidates,89.0
four sets,88.0
akwasi agyeman,85.0
third biggest club,85.0
courier crackdown,84.0
kidney failure,84.0
southern city,84.0
forestry commission,83.0
certain individuals,82.0
multiple sectors,80.0
meningitis,79.0
musical greats,77.0
right people,76.0
certain areas,75.0
one hand,75.0
improved prison,75.0
massive water shortage,75.0
deadly helicopter,73.0
nuclear energy,72.0
one resident,72.0
video games,71.0
touchline,71.0
great admirer,71.0
upcoming licensure exams,71.0
historic town hall,69.0
far post,69.0
highways minister,69.0
club projects,69.0
advanced military equipment,69.0
regional favorites,68.0
sbawumia,66.0
two goat thieves,66.0
reins,65.0
sole woman,65.0
nearest police station,65.0
one suspect,63.0
internet trolls,63.0
egg-shaped rings,61.0
live ammunition,61.0
one case,60.0
safe water,60.0
manual toll gates,60.0
older persons,60.0
one roof,60.0
large parts,59.0
oral sex,59.0
drawing board,57.0
cocoa sacks,56.0
primary healthcare,55.0
sad people,55.0
van vicker,55.0
career-ready graduates,55.0
multiple regions,55.0
faulty infrastructure,55.0
southern part,54.0
brooms,53.0
central government,52.0
typhoid cases,52.0
hairdressing,52.0
speculative reports,52.0
public transportation,52.0
national television,52.0
constructed roads,51.0
dual citizens,51.0
sustainable infrastructure,51.0
best person,51.0
comers,50.0
integrated business survey,50.0
spade,50.0
well-experienced guests,50.0
right tools,50.0
large portion,49.0
two draws,49.0
main opposition,49.0
national guard,48.0
tidal tave victims,48.0
tomato paste,47.0
transgender women,47.0
one fan,47.0
olive oil,47.0
deprived residents,47.0
fatal helicopter,47.0
unauthorised electricians,46.0
biofuels,45.0
new programming line-up,45.0
large swathes,45.0
inward remittance services,45.0
eno,45.0
legal practitioner,44.0
security delegation,44.0
non-consensual photos,44.0
potatoes,44.0
certain people,44.0
tits,43.0
peer-reviewed studies,43.0
osteoporosis,43.0
eastern city,43.0
youth entrepreneurs,43.0
cybercriminals,43.0
strongly worded statement,43.0
detailed report,43.0
motor insurance,43.0
private legal practitioner,42.0
electoral violence report,42.0
floodgates,42.0
new youth leaders,42.0
 national headquarters,42.0
telecommunications industry,41.0
laos,41.0
electoral roll,41.0
first accused person,41.0
homosexuals,41.0
afterparty beats,41.0
weekly programme,41.0
dawada,40.0
mobile money payments,40.0
earlier reports,40.0
responsible citizens,40.0
electronic payments,40.0
best candidate,40.0
one district,39.0
locally produced items,39.0
nearby hospital,39.0
academic research institutions,39.0
medical associations,39.0
showbiz industry,39.0
live television,39.0
skilled labour,39.0
diagnostics,38.0
aquaculture projects,38.0
mobile banking,38.0
climate-smart agriculture,38.0
landlocked giant,38.0
live music,38.0
red wine,38.0
high school crush,38.0
national cruiserweight,38.0
certain parts,38.0
wind energy,37.0
cultural tourism,37.0
para sports,37.0
forcibly displaced persons,37.0
fuel allowance money,37.0
north east,37.0
semiconductors,37.0
everyday people,37.0
soybeans,37.0
tax-free lavish gifts,37.0
energy prices,36.0
record levels,36.0
greenback,36.0
clay,36.0
floodwaters,36.0
deputy finance minister,36.0
motorbike riders,36.0
newsmen,36.0
substandard cement producers,36.0
countryside,36.0
theaters,36.0
medal table,36.0
clean drinking water,36.0
medical case,36.0
three excavators,36.0
one umbrella,36.0
kidney diseases,36.0
five sets,35.0
deep cut,35.0
electoral body,35.0
breast cancer surgeries,35.0
free surgeries,35.0
leaking bucket,35.0
back-to-back sold-out shows,35.0
multi-functional display barrow,35.0
sanitary products,35.0
local reports,35.0
back post,35.0
 presidential election,35.0
southern zone,34.0
three-member committee,34.0
reinforcements,34.0
oncology doctors,34.0
bpd,33.0
classified documents,33.0
five assists,33.0
new official vehicle,33.0
bloodstains,33.0
forged documents,33.0
two prestigious awards,33.0
media owners,33.0
global music scene,33.0
cocktails,33.0
bourse,33.0
rhino horns,33.0
parliamentary press corps,33.0
second accused person,33.0
assorted products,33.0
telecommunications sector,33.0
security analyst,32.0
statesman,32.0
reigning champions,32.0
teargas,32.0
law-abiding citizens,32.0
distressed technical universities,32.0
